date,burglary
2010-01-01,391.0
2010-02-01,337.0
2010-03-01,299.0
2010-04-01,374.0
2010-05-01,381.0
2010-06-01,407.0
2010-07-01,370.0
2010-08-01,406.0
2010-09-01,333.0
2010-10-01,420.0
2010-11-01,378.0
2010-12-01,309.0
2011-01-01,346.0
2011-02-01,301.0
2011-03-01,346.0
2011-04-01,339.0
2011-05-01,389.0
2011-06-01,418.0
2011-07-01,393.0
2011-08-01,444.0
2011-09-01,391.0
2011-10-01,544.0
2011-11-01,381.0
2011-12-01,373.0
2012-01-01,423.0
2012-02-01,420.0
2012-03-01,387.0
2012-04-01,331.0
2012-05-01,454.0
2012-06-01,352.0
2012-07-01,373.0
2012-08-01,449.0
2012-09-01,386.0
2012-10-01,457.0
2012-11-01,367.0
2012-12-01,354.0
2013-01-01,397.0
2013-02-01,552.0
2013-03-01,373.0
2013-04-01,382.0
2013-05-01,427.0
2013-06-01,373.0
2013-07-01,448.0
2013-08-01,462.0
2013-09-01,386.0
2013-10-01,399.0
2013-11-01,375.0
2013-12-01,320.0
2014-01-01,384.0
2014-02-01,349.0
2014-03-01,425.0
2014-04-01,344.0
2014-05-01,405.0
2014-06-01,361.0
2014-07-01,428.0
2014-08-01,392.0
2014-09-01,440.0
2014-10-01,513.0
2014-11-01,356.0
2014-12-01,314.0
2015-01-01,394.0
2015-02-01,377.0
2015-03-01,315.0
2015-04-01,348.0
2015-05-01,341.0
2015-06-01,327.0
2015-07-01,336.0
2015-08-01,450.0
2015-09-01,398.0
2015-10-01,395.0
2015-11-01,366.0
2015-12-01,401.0
2016-01-01,350.0
2016-02-01,340.0
2016-03-01,396.0
2016-04-01,353.0
2016-05-01,411.0
2016-06-01,317.0
2016-07-01,362.0
2016-08-01,423.0
2016-09-01,366.0
2016-10-01,360.0
2016-11-01,296.0
2016-12-01,358.0
2017-01-01,338.0
2017-02-01,342.0
2017-03-01,311.0
2017-04-01,326.0
2017-05-01,330.0
2017-06-01,349.0
2017-07-01,334.0
2017-08-01,377.0
2017-09-01,375.0
2017-10-01,395.0
2017-11-01,346.0
2017-12-01,277.0
2018-01-01,328.0
2018-02-01,376.0
2018-03-01,307.0
2018-04-01,356.0
2018-05-01,371.0
2018-06-01,367.0
2018-07-01,389.0
2018-08-01,441.0
2018-09-01,369.0
2018-10-01,405.0
2018-11-01,343.0
2018-12-01,356.0
2019-01-01,409.0
2019-02-01,349.0
2019-03-01,406.0
2019-04-01,349.0
2019-05-01,351.0
2019-06-01,324.0
2019-07-01,355.0
2019-08-01,394.0
2019-09-01,345.0
2019-10-01,352.0
2019-11-01,345.0
2019-12-01,345.0
2020-01-01,492.0
2020-02-01,389.0
2020-03-01,469.0
2020-04-01,494.0
2020-05-01,708.0
2020-06-01,837.0
2020-07-01,346.0
2020-08-01,366.0
2020-09-01,504.0
2020-10-01,525.0
2020-11-01,313.0
2020-12-01,483.0
2021-01-01,496.0
2021-02-01,383.0
2021-03-01,394.0
2021-04-01,318.0
2021-05-01,350.0
2021-06-01,316.0
2021-07-01,365.0
2021-08-01,391.0
2021-09-01,370.0
2021-10-01,500.0
2021-11-01,452.0
2021-12-01,416.0
2022-01-01,480.0
2022-02-01,456.0
2022-03-01,595.0
2022-04-01,517.0
2022-05-01,534.0
2022-06-01,551.0
2022-07-01,488.0
2022-08-01,486.0
2022-09-01,543.0
2022-10-01,533.0
2022-11-01,465.0
2022-12-01,487.0
