date,felony assault
2010-01-01,1012.0
2010-02-01,827.0
2010-03-01,1059.0
2010-04-01,1069.0
2010-05-01,1141.0
2010-06-01,1118.0
2010-07-01,1201.0
2010-08-01,1077.0
2010-09-01,1047.0
2010-10-01,1001.0
2010-11-01,944.0
2010-12-01,836.0
2011-01-01,1037.0
2011-02-01,901.0
2011-03-01,1124.0
2011-04-01,1045.0
2011-05-01,1187.0
2011-06-01,1236.0
2011-07-01,1184.0
2011-08-01,1100.0
2011-09-01,1017.0
2011-10-01,999.0
2011-11-01,988.0
2011-12-01,943.0
2012-01-01,1012.0
2012-02-01,967.0
2012-03-01,1150.0
2012-04-01,1090.0
2012-05-01,1275.0
2012-06-01,1236.0
2012-07-01,1268.0
2012-08-01,1209.0
2012-09-01,1132.0
2012-10-01,1126.0
2012-11-01,903.0
2012-12-01,939.0
2013-01-01,1123.0
2013-02-01,1014.0
2013-03-01,1077.0
2013-04-01,1162.0
2013-05-01,1262.0
2013-06-01,1276.0
2013-07-01,1373.0
2013-08-01,1171.0
2013-09-01,1109.0
2013-10-01,1224.0
2013-11-01,1108.0
2013-12-01,1083.0
2014-01-01,1103.0
2014-02-01,1047.0
2014-03-01,1185.0
2014-04-01,1133.0
2014-05-01,1275.0
2014-06-01,1384.0
2014-07-01,1370.0
2014-08-01,1247.0
2014-09-01,1120.0
2014-10-01,1315.0
2014-11-01,1168.0
2014-12-01,863.0
2015-01-01,1087.0
2015-02-01,946.0
2015-03-01,1153.0
2015-04-01,1081.0
2015-05-01,1214.0
2015-06-01,1160.0
2015-07-01,1311.0
2015-08-01,1324.0
2015-09-01,1151.0
2015-10-01,1222.0
2015-11-01,1142.0
2015-12-01,1052.0
2016-01-01,1229.0
2016-02-01,1093.0
2016-03-01,1173.0
2016-04-01,1191.0
2016-05-01,1284.0
2016-06-01,1296.0
2016-07-01,1399.0
2016-08-01,1399.0
2016-09-01,1178.0
2016-10-01,1172.0
2016-11-01,1067.0
2016-12-01,1084.0
2017-01-01,1262.0
2017-02-01,1059.0
2017-03-01,1188.0
2017-04-01,1184.0
2017-05-01,1346.0
2017-06-01,1259.0
2017-07-01,1314.0
2017-08-01,1252.0
2017-09-01,1139.0
2017-10-01,1297.0
2017-11-01,1065.0
2017-12-01,993.0
2018-01-01,1186.0
2018-02-01,1114.0
2018-03-01,1179.0
2018-04-01,1190.0
2018-05-01,1313.0
2018-06-01,1287.0
2018-07-01,1262.0
2018-08-01,1390.0
2018-09-01,1195.0
2018-10-01,1279.0
2018-11-01,1091.0
2018-12-01,1087.0
2019-01-01,1138.0
2019-02-01,940.0
2019-03-01,1179.0
2019-04-01,1254.0
2019-05-01,1354.0
2019-06-01,1278.0
2019-07-01,1438.0
2019-08-01,1302.0
2019-09-01,1221.0
2019-10-01,1219.0
2019-11-01,1172.0
2019-12-01,1056.0
2020-01-01,1253.0
2020-02-01,1085.0
2020-03-01,1151.0
2020-04-01,772.0
2020-05-01,1158.0
2020-06-01,967.0
2020-07-01,1002.0
2020-08-01,1101.0
2020-09-01,1089.0
2020-10-01,1207.0
2020-11-01,1002.0
2020-12-01,1140.0
2021-01-01,1158.0
2021-02-01,991.0
2021-03-01,1227.0
2021-04-01,1019.0
2021-05-01,1230.0
2021-06-01,1332.0
2021-07-01,1385.0
2021-08-01,1353.0
2021-09-01,1360.0
2021-10-01,1462.0
2021-11-01,1250.0
2021-12-01,1232.0
2022-01-01,1287.0
2022-02-01,1302.0
2022-03-01,1463.0
2022-04-01,1490.0
2022-05-01,1579.0
2022-06-01,1659.0
2022-07-01,1639.0
2022-08-01,1653.0
2022-09-01,1592.0
2022-10-01,1579.0
2022-11-01,1498.0
2022-12-01,1445.0
