date,grand larceny
2010-01-01,556.0
2010-02-01,478.0
2010-03-01,550.0
2010-04-01,594.0
2010-05-01,624.0
2010-06-01,600.0
2010-07-01,588.0
2010-08-01,600.0
2010-09-01,501.0
2010-10-01,566.0
2010-11-01,485.0
2010-12-01,469.0
2011-01-01,519.0
2011-02-01,475.0
2011-03-01,580.0
2011-04-01,526.0
2011-05-01,638.0
2011-06-01,649.0
2011-07-01,562.0
2011-08-01,619.0
2011-09-01,517.0
2011-10-01,596.0
2011-11-01,539.0
2011-12-01,564.0
2012-01-01,596.0
2012-02-01,581.0
2012-03-01,621.0
2012-04-01,576.0
2012-05-01,720.0
2012-06-01,560.0
2012-07-01,628.0
2012-08-01,639.0
2012-09-01,594.0
2012-10-01,586.0
2012-11-01,454.0
2012-12-01,542.0
2013-01-01,663.0
2013-02-01,663.0
2013-03-01,628.0
2013-04-01,666.0
2013-05-01,720.0
2013-06-01,651.0
2013-07-01,701.0
2013-08-01,673.0
2013-09-01,581.0
2013-10-01,718.0
2013-11-01,630.0
2013-12-01,669.0
2014-01-01,846.0
2014-02-01,670.0
2014-03-01,795.0
2014-04-01,718.0
2014-05-01,779.0
2014-06-01,834.0
2014-07-01,824.0
2014-08-01,804.0
2014-09-01,725.0
2014-10-01,928.0
2014-11-01,783.0
2014-12-01,576.0
2015-01-01,696.0
2015-02-01,724.0
2015-03-01,708.0
2015-04-01,817.0
2015-05-01,697.0
2015-06-01,743.0
2015-07-01,767.0
2015-08-01,830.0
2015-09-01,741.0
2015-10-01,803.0
2015-11-01,779.0
2015-12-01,793.0
2016-01-01,780.0
2016-02-01,761.0
2016-03-01,790.0
2016-04-01,820.0
2016-05-01,906.0
2016-06-01,753.0
2016-07-01,820.0
2016-08-01,856.0
2016-09-01,747.0
2016-10-01,786.0
2016-11-01,756.0
2016-12-01,738.0
2017-01-01,720.0
2017-02-01,703.0
2017-03-01,772.0
2017-04-01,796.0
2017-05-01,822.0
2017-06-01,675.0
2017-07-01,758.0
2017-08-01,836.0
2017-09-01,657.0
2017-10-01,869.0
2017-11-01,959.0
2017-12-01,751.0
2018-01-01,926.0
2018-02-01,833.0
2018-03-01,773.0
2018-04-01,888.0
2018-05-01,894.0
2018-06-01,771.0
2018-07-01,808.0
2018-08-01,829.0
2018-09-01,748.0
2018-10-01,810.0
2018-11-01,855.0
2018-12-01,819.0
2019-01-01,827.0
2019-02-01,743.0
2019-03-01,912.0
2019-04-01,796.0
2019-05-01,792.0
2019-06-01,758.0
2019-07-01,812.0
2019-08-01,912.0
2019-09-01,647.0
2019-10-01,883.0
2019-11-01,739.0
2019-12-01,663.0
2020-01-01,799.0
2020-02-01,705.0
2020-03-01,715.0
2020-04-01,291.0
2020-05-01,541.0
2020-06-01,230.0
2020-07-01,335.0
2020-08-01,443.0
2020-09-01,455.0
2020-10-01,750.0
2020-11-01,529.0
2020-12-01,503.0
2021-01-01,482.0
2021-02-01,421.0
2021-03-01,575.0
2021-04-01,419.0
2021-05-01,466.0
2021-06-01,491.0
2021-07-01,563.0
2021-08-01,575.0
2021-09-01,602.0
2021-10-01,695.0
2021-11-01,583.0
2021-12-01,531.0
2022-01-01,540.0
2022-02-01,597.0
2022-03-01,723.0
2022-04-01,636.0
2022-05-01,673.0
2022-06-01,688.0
2022-07-01,688.0
2022-08-01,724.0
2022-09-01,990.0
2022-10-01,930.0
2022-11-01,780.0
2022-12-01,734.0
