date,robbery
2010-01-01,1094.0
2010-02-01,760.0
2010-03-01,941.0
2010-04-01,1006.0
2010-05-01,1073.0
2010-06-01,940.0
2010-07-01,978.0
2010-08-01,898.0
2010-09-01,879.0
2010-10-01,1211.0
2010-11-01,969.0
2010-12-01,768.0
2011-01-01,988.0
2011-02-01,828.0
2011-03-01,890.0
2011-04-01,985.0
2011-05-01,1043.0
2011-06-01,993.0
2011-07-01,935.0
2011-08-01,885.0
2011-09-01,872.0
2011-10-01,982.0
2011-11-01,891.0
2011-12-01,901.0
2012-01-01,969.0
2012-02-01,805.0
2012-03-01,852.0
2012-04-01,875.0
2012-05-01,949.0
2012-06-01,858.0
2012-07-01,895.0
2012-08-01,963.0
2012-09-01,845.0
2012-10-01,895.0
2012-11-01,754.0
2012-12-01,849.0
2013-01-01,924.0
2013-02-01,770.0
2013-03-01,789.0
2013-04-01,812.0
2013-05-01,924.0
2013-06-01,881.0
2013-07-01,906.0
2013-08-01,935.0
2013-09-01,833.0
2013-10-01,990.0
2013-11-01,799.0
2013-12-01,798.0
2014-01-01,904.0
2014-02-01,702.0
2014-03-01,830.0
2014-04-01,807.0
2014-05-01,942.0
2014-06-01,836.0
2014-07-01,872.0
2014-08-01,879.0
2014-09-01,829.0
2014-10-01,823.0
2014-11-01,716.0
2014-12-01,666.0
2015-01-01,914.0
2015-02-01,721.0
2015-03-01,800.0
2015-04-01,786.0
2015-05-01,874.0
2015-06-01,833.0
2015-07-01,931.0
2015-08-01,1036.0
2015-09-01,927.0
2015-10-01,914.0
2015-11-01,912.0
2015-12-01,763.0
2016-01-01,876.0
2016-02-01,789.0
2016-03-01,838.0
2016-04-01,858.0
2016-05-01,862.0
2016-06-01,806.0
2016-07-01,801.0
2016-08-01,880.0
2016-09-01,806.0
2016-10-01,854.0
2016-11-01,729.0
2016-12-01,744.0
2017-01-01,826.0
2017-02-01,757.0
2017-03-01,675.0
2017-04-01,706.0
2017-05-01,869.0
2017-06-01,832.0
2017-07-01,756.0
2017-08-01,842.0
2017-09-01,698.0
2017-10-01,857.0
2017-11-01,756.0
2017-12-01,687.0
2018-01-01,747.0
2018-02-01,675.0
2018-03-01,693.0
2018-04-01,711.0
2018-05-01,761.0
2018-06-01,732.0
2018-07-01,767.0
2018-08-01,840.0
2018-09-01,695.0
2018-10-01,758.0
2018-11-01,705.0
2018-12-01,623.0
2019-01-01,731.0
2019-02-01,585.0
2019-03-01,681.0
2019-04-01,671.0
2019-05-01,810.0
2019-06-01,666.0
2019-07-01,869.0
2019-08-01,816.0
2019-09-01,830.0
2019-10-01,938.0
2019-11-01,741.0
2019-12-01,648.0
2020-01-01,873.0
2020-02-01,832.0
2020-03-01,719.0
2020-04-01,484.0
2020-05-01,691.0
2020-06-01,424.0
2020-07-01,509.0
2020-08-01,673.0
2020-09-01,614.0
2020-10-01,704.0
2020-11-01,552.0
2020-12-01,632.0
2021-01-01,623.0
2021-02-01,563.0
2021-03-01,604.0
2021-04-01,503.0
2021-05-01,612.0
2021-06-01,604.0
2021-07-01,696.0
2021-08-01,692.0
2021-09-01,666.0
2021-10-01,707.0
2021-11-01,666.0
2021-12-01,713.0
2022-01-01,704.0
2022-02-01,744.0
2022-03-01,808.0
2022-04-01,770.0
2022-05-01,828.0
2022-06-01,855.0
2022-07-01,801.0
2022-08-01,790.0
2022-09-01,812.0
2022-10-01,897.0
2022-11-01,879.0
2022-12-01,769.0
