,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,CDD,HDD
2010-01-01,4.3,0.9,2.4,4.1,-1.8,1.0,-0.4,82.5,2.398,100.0,16.67,0.0,0.1,15.5,309.2,1011.7,99.6,10.6,80.1,6.8,4.0,0.53,0.0,28.0
2010-01-02,1.1,-8.0,-3.5,-3.8,-17.3,-10.5,-10.2,60.2,0.185,100.0,4.17,0.0,0.0,35.1,295.4,1004.9,79.3,14.3,49.9,4.1,2.0,0.57,0.0,39.0
2010-01-03,-5.5,-8.0,-6.9,-13.2,-17.3,-15.2,-14.4,55.1,0.0,0.0,0.0,0.0,0.0,36.2,290.4,1000.6,73.3,15.3,36.3,3.1,1.0,0.6,0.0,45.0
2010-01-04,-1.0,-6.8,-4.7,-6.6,-14.8,-11.3,-12.4,55.3,0.0,0.0,0.0,0.0,0.0,27.1,294.4,1005.7,28.1,16.0,69.2,5.9,3.0,0.63,0.0,41.0
2010-01-05,-0.8,-6.1,-3.7,-6.1,-12.8,-9.7,-11.3,55.6,0.0,0.0,0.0,0.0,0.0,26.5,295.1,1006.4,50.1,16.0,112.9,9.7,5.0,0.67,0.0,39.0
2010-01-06,1.3,-3.0,-1.6,-3.3,-9.0,-7.1,-9.5,55.0,0.0,0.0,0.0,0.0,0.0,27.1,299.2,1006.3,55.5,16.0,100.1,8.7,5.0,0.7,0.0,35.0
2010-01-07,3.2,-1.1,0.7,-0.7,-6.6,-3.8,-6.2,60.4,0.0,0.0,0.0,0.0,0.0,26.4,292.5,1011.0,50.2,16.0,114.5,9.8,5.0,0.75,0.0,31.0
2010-01-08,0.9,-4.8,-1.3,0.7,-11.4,-5.5,-6.5,68.5,0.671,100.0,25.0,0.0,0.0,32.2,281.7,1007.9,78.4,12.7,68.0,5.9,4.0,0.77,0.0,35.0
2010-01-09,-0.8,-6.8,-4.6,-5.1,-14.2,-10.5,-14.6,47.0,0.0,0.0,0.0,0.0,0.0,23.6,309.8,1017.4,1.5,16.0,120.0,10.4,5.0,0.81,0.0,41.0
2010-01-10,-1.8,-9.6,-5.8,-6.7,-15.6,-11.0,-17.0,41.5,0.0,0.0,0.0,0.0,0.0,20.1,309.8,1023.4,12.1,16.0,122.1,10.6,5.0,0.84,0.0,43.0
2010-01-11,-0.8,-6.0,-3.0,-3.7,-11.9,-7.5,-12.8,47.5,0.0,0.0,0.0,0.0,0.0,15.8,268.0,1020.2,32.0,16.0,105.9,9.2,5.0,0.88,0.0,38.0
