,0
2010-01-01,231.0
2010-01-02,246.0
2010-01-03,146.0
2010-01-04,195.0
2010-01-05,296.0
2010-01-06,302.0
2010-01-07,382.0
2010-01-08,372.0
2010-01-09,302.0
2010-01-10,185.0
2010-01-11,213.0
2010-01-12,297.0
2010-01-13,323.0
2010-01-14,339.0
2010-01-15,349.0
2010-01-16,292.0
2010-01-17,182.0
2010-01-18,206.0
2010-01-19,331.0
2010-01-20,384.0
2010-01-21,355.0
2010-01-22,347.0
2010-01-23,295.0
2010-01-24,208.0
2010-01-25,146.0
2010-01-26,324.0
2010-01-27,344.0
2010-01-28,280.0
2010-01-29,291.0
2010-01-30,234.0
2010-01-31,143.0
2010-02-01,210.0
2010-02-02,348.0
2010-02-03,307.0
2010-02-04,375.0
2010-02-05,321.0
2010-02-06,275.0
2010-02-07,152.0
2010-02-08,209.0
2010-02-09,315.0
2010-02-10,113.0
2010-02-11,263.0
2010-02-12,296.0
2010-02-13,259.0
2010-02-14,162.0
2010-02-15,155.0
2010-02-16,234.0
2010-02-17,299.0
2010-02-18,362.0
2010-02-19,254.0
2010-02-20,271.0
2010-02-21,200.0
2010-02-22,197.0
2010-02-23,271.0
2010-02-24,315.0
2010-02-25,218.0
2010-02-26,166.0
2010-02-27,297.0
2010-02-28,138.0
2010-03-01,201.0
2010-03-02,293.0
2010-03-03,336.0
2010-03-04,324.0
2010-03-05,357.0
2010-03-06,263.0
2010-03-07,194.0
2010-03-08,187.0
2010-03-09,272.0
2010-03-10,325.0
2010-03-11,272.0
2010-03-12,287.0
2010-03-13,192.0
2010-03-14,171.0
2010-03-15,198.0
2010-03-16,293.0
2010-03-17,263.0
2010-03-18,281.0
2010-03-19,318.0
2010-03-20,193.0
2010-03-21,182.0
2010-03-22,171.0
2010-03-23,273.0
2010-03-24,331.0
2010-03-25,291.0
2010-03-26,281.0
2010-03-27,252.0
2010-03-28,188.0
2010-03-29,125.0
2010-03-30,197.0
2010-03-31,266.0
2010-04-01,254.0
2010-04-02,240.0
2010-04-03,225.0
2010-04-04,138.0
2010-04-05,199.0
2010-04-06,271.0
2010-04-07,263.0
2010-04-08,262.0
2010-04-09,286.0
2010-04-10,206.0
2010-04-11,163.0
2010-04-12,213.0
2010-04-13,305.0
2010-04-14,274.0
2010-04-15,295.0
2010-04-16,294.0
2010-04-17,250.0
2010-04-18,168.0
2010-04-19,185.0
2010-04-20,315.0
2010-04-21,320.0
2010-04-22,357.0
2010-04-23,301.0
2010-04-24,264.0
2010-04-25,163.0
2010-04-26,155.0
2010-04-27,301.0
2010-04-28,308.0
2010-04-29,290.0
2010-04-30,239.0
2010-05-01,217.0
2010-05-02,167.0
2010-05-03,162.0
2010-05-04,249.0
2010-05-05,285.0
2010-05-06,284.0
2010-05-07,299.0
2010-05-08,235.0
2010-05-09,155.0
2010-05-10,224.0
2010-05-11,280.0
2010-05-12,312.0
2010-05-13,298.0
2010-05-14,282.0
2010-05-15,181.0
2010-05-16,156.0
2010-05-17,200.0
2010-05-18,252.0
2010-05-19,322.0
2010-05-20,351.0
2010-05-21,284.0
2010-05-22,219.0
2010-05-23,168.0
2010-05-24,230.0
2010-05-25,283.0
2010-05-26,300.0
2010-05-27,285.0
2010-05-28,291.0
2010-05-29,232.0
2010-05-30,141.0
2010-05-31,128.0
2010-06-01,242.0
2010-06-02,257.0
2010-06-03,306.0
2010-06-04,248.0
2010-06-05,204.0
2010-06-06,155.0
2010-06-07,199.0
2010-06-08,291.0
2010-06-09,239.0
2010-06-10,242.0
2010-06-11,254.0
2010-06-12,213.0
2010-06-13,190.0
2010-06-14,222.0
2010-06-15,264.0
2010-06-16,294.0
2010-06-17,301.0
2010-06-18,241.0
2010-06-19,167.0
2010-06-20,108.0
2010-06-21,151.0
2010-06-22,224.0
2010-06-23,269.0
2010-06-24,272.0
2010-06-25,243.0
2010-06-26,207.0
2010-06-27,168.0
2010-06-28,170.0
2010-06-29,238.0
2010-06-30,224.0
2010-07-01,247.0
2010-07-02,184.0
2010-07-03,199.0
2010-07-04,156.0
2010-07-05,144.0
2010-07-06,267.0
2010-07-07,238.0
2010-07-08,271.0
2010-07-09,229.0
2010-07-10,253.0
2010-07-11,155.0
2010-07-12,187.0
2010-07-13,260.0
2010-07-14,268.0
2010-07-15,264.0
2010-07-16,270.0
2010-07-17,201.0
2010-07-18,150.0
2010-07-19,195.0
2010-07-20,257.0
2010-07-21,251.0
2010-07-22,259.0
2010-07-23,218.0
2010-07-24,184.0
2010-07-25,151.0
2010-07-26,166.0
2010-07-27,261.0
2010-07-28,237.0
2010-07-29,253.0
2010-07-30,210.0
2010-07-31,208.0
2010-08-01,176.0
2010-08-02,176.0
2010-08-03,247.0
2010-08-04,260.0
2010-08-05,245.0
2010-08-06,244.0
2010-08-07,201.0
2010-08-08,201.0
2010-08-09,165.0
2010-08-10,271.0
2010-08-11,278.0
2010-08-12,229.0
2010-08-13,258.0
2010-08-14,238.0
2010-08-15,143.0
2010-08-16,158.0
2010-08-17,242.0
2010-08-18,260.0
2010-08-19,234.0
2010-08-20,233.0
2010-08-21,179.0
2010-08-22,149.0
2010-08-23,153.0
2010-08-24,261.0
2010-08-25,293.0
2010-08-26,266.0
2010-08-27,219.0
2010-08-28,164.0
